ROZZ	Chromista	Chromista
BAKF	Chromista	Chromista
IRZA	Chromista	Chromista
IAYV	Chromista	Chromista
BAJW	ChromistaHaptophyceae	Chromista
LXRN	ChromistaHaptophyceae	Chromista
EBWI	ChromistaHaptophyceae	Chromista
RFAD	ChromistaHaptophyceae	Chromista
LLEN	ChromistaHaptophyceae	Chromista
VJED	ChromistaHaptophyceae	Chromista
NMAK	ChromistaHaptophyceae	Chromista
BOGT	ChromistaChrysophyta	Chromista
VKVG	ChromistaChrysophyta	Chromista
DBYD	ChromistaChrysophyta	Chromista
APTP	Chromista	Chromista
LIRF	Chromista	Chromista
FOMH	Chromista	Chromista
HFIK	Chromista	Chromista
FIKG	Chromista	Chromista
RWXW	Chromista	Chromista
LDRY	Chromista	Chromista
YRMA	Chromista	Chromista
JGGD	Chromista	Chromista
VYER	Chromista	Chromista
FSQE	Chromista	Chromista
FIDQ	Chromista	Chromista
RAPY	Chromista	Chromista
SRSQ	Chromista	Chromista
ASZK	Chromista	Chromista
QLMZ	Chromista	Chromista
JCXF	Chromista	Chromista
VRGZ	Chromista	Chromista
ULXR	Chromista	Chromista
Cyame_v1.0	Rhodophyta	Rhodophyta
LLXJ	Rhodophyta	Rhodophyta
JJZR	Rhodophyta	Rhodophyta
RSOF	Rhodophyta	Rhodophyta
RTLC	Rhodophyta	Rhodophyta
PVGP	Rhodophyta	Rhodophyta
OBUY	Rhodophyta	Rhodophyta
ZULJ	Rhodophyta	Rhodophyta
VZWX	Rhodophyta	Rhodophyta
YSBD	Rhodophyta	Rhodophyta
UYFR	Rhodophyta	Rhodophyta
XAXW	Rhodophyta	Rhodophyta
JEBK	Rhodophyta	Rhodophyta
BWVJ	Rhodophyta	Rhodophyta
IHJY	Rhodophyta	Rhodophyta
IEHF	Rhodophyta	Rhodophyta
CKXF	Rhodophyta	Rhodophyta
SBLT	Rhodophyta	Rhodophyta
WEJN	Rhodophyta	Rhodophyta
UGPM	Rhodophyta	Rhodophyta
PYDB	Rhodophyta	Rhodophyta
URSB	Rhodophyta	Rhodophyta
IKIZ	Rhodophyta	Rhodophyta
ZJOJ	Rhodophyta	Rhodophyta
IKWM	Rhodophyta	Rhodophyta
LJPN	Rhodophyta	Rhodophyta
VNAL	Rhodophyta	Rhodophyta
PWKQ	Rhodophyta	Rhodophyta
FTRP	Rhodophyta	Rhodophyta
QFND	Glaucophyta	Glaucophyta
Cyapa_v1.0	Glaucophyta	Glaucophyta
JKHA	Glaucophyta	Glaucophyta
POOW	Glaucophyta	Glaucophyta
PQED	Glaucophyta	Glaucophyta
EGNB	prasinophytes Scourfieldiales	Chlorophyta
JMTE	prasinophytes Pseudoscourfieldiales	Chlorophyta
TNAW	prasinophytes Pyramimonadales	Chlorophyta
XIVI	prasinophytes Pyramimonadales	Chlorophyta
XOAL	Mamiellophyceae	Chlorophyta
BTFM	Mamiellophyceae	Chlorophyta
Micpu_v3.0	Mamiellophyceae	Chlorophyta
QXSZ	Mamiellophyceae	Chlorophyta
Ostlu_v2.0	Mamiellophyceae	Chlorophyta
MCPK	Mamiellophyceae	Chlorophyta
ISIM	Nephroselmidophyceae Nephroselmidales	Chlorophyta
MMKU	Nephroselmidophyceae Nephroselmidales	Chlorophyta
TGNL	prasinophytes Chlorophyta incertae sedis	Chlorophyta
AYPS	Chlorophyta	Chlorophyta
RRSV	Pedinophyceae	Chlorophyta
PUAN	Pedinophyceae	Chlorophyta
FMVB	Chlorodendrales	Chlorophyta
DUMA	Chlorodendrales	Chlorophyta
HVNO	Chlorodendrales	Chlorophyta
HHXJ	Chlorodendrales	Chlorophyta
PFUD	Trebouxiophyceae	Chlorophyta
MFYC	Trebouxiophyceae	Chlorophyta
MNCB	Trebouxiophyceae	Chlorophyta
JQFK	Trebouxiophyceae	Chlorophyta
BILC	Trebouxiophyceae	Chlorophyta
AKCR	Trebouxiophyceae	Chlorophyta
Chlva_v1.0	Trebouxiophyceae	Chlorophyta
EEJO	Trebouxiophyceae	Chlorophyta
WCLV	Trebouxiophyceae	Chlorophyta
WXRI	Trebouxiophyceae	Chlorophyta
EATP	Trebouxiophyceae	Chlorophyta
ZNUM	Trebouxiophyceae	Chlorophyta
NKXU	Trebouxiophyceae	Chlorophyta
GXBM	Trebouxiophyceae	Chlorophyta
QYXY	Trebouxiophyceae	Chlorophyta
ETGN	Trebouxiophyceae	Chlorophyta
NATT	Ulvophyceae	Chlorophyta
YDCQ	Ulvophyceae	Chlorophyta
VHIJ	Ulvophyceae	Chlorophyta
VBLH	Ulvophyceae	Chlorophyta
ALZF	Ulvophyceae	Chlorophyta
NSTT	Ulvophyceae	Chlorophyta
KADG	Ulvophyceae	Chlorophyta
JIWJ	Ulvophyceae	Chlorophyta
AJAU	Ulvophyceae	Chlorophyta
LETF	Ulvophyceae	Chlorophyta
CBNG	Ulvophyceae	Chlorophyta
GJIY	Ulvophyceae	Chlorophyta
KSFK	Ulvophyceae	Chlorophyta
LSHT	Ulvophyceae	Chlorophyta
NQYP	Ulvophyceae	Chlorophyta
OQON	Ulvophyceae	Chlorophyta
OAEZ	Ulvophyceae	Chlorophyta
CQQP	Ulvophyceae	Chlorophyta
GYBH	Ulvophyceae	Chlorophyta
JTIG	Ulvophyceae	Chlorophyta
BAZF	Chlorophyceae	Chlorophyta
DVYE	Chlorophyceae	Chlorophyta
SDPC	Chlorophyceae	Chlorophyta
IJMT	Chlorophyceae	Chlorophyta
RAWF	Chlorophyceae	Chlorophyta
ISGT	Chlorophyceae	Chlorophyta
VFIV	Chlorophyceae	Chlorophyta
JMUI	Chlorophyceae	Chlorophyta
DZPJ	Chlorophyceae	Chlorophyta
MXDS	Chlorophyceae	Chlorophyta
ENAU	Chlorophyceae	Chlorophyta
FOYQ	Chlorophyceae	Chlorophyta
BZSH	Chlorophyceae	Chlorophyta
OTQG	Chlorophyceae	Chlorophyta
MWAN	Chlorophyceae	Chlorophyta
PZIF	Chlorophyceae	Chlorophyta
VJDZ	Chlorophyceae	Chlorophyta
XKWQ	Chlorophyceae	Chlorophyta
XTON	Chlorophyceae	Chlorophyta
VIAU	Chlorophyceae	Chlorophyta
RUIF	Chlorophyceae	Chlorophyta
FXHG	Chlorophyceae	Chlorophyta
UTRE	Chlorophyceae	Chlorophyta
AOUJ	Chlorophyceae	Chlorophyta
LBRP	Chlorophyceae	Chlorophyta
AJUW	Chlorophyceae	Chlorophyta
XDLL	Chlorophyceae	Chlorophyta
OFUE	Chlorophyceae	Chlorophyta
IRYH	Chlorophyceae	Chlorophyta
QWRA	Chlorophyceae	Chlorophyta
